_id	language	name	type	requires	text	rules
6	es	S&#243;tano	Acci&#243;n		<b>+1 Acci&#243;n</b><br/><br/>Descarta las cartas que quieras.<br/>Roba +1 Carta por cada  carta descartada.	No puedes descartarte del Sótano, puesto que no se encuentra ya en tu mano cuando resuelves la Acción. Eliges las Cartas que quieres y las descartas de una vez. Sólo puedes robar las Cartas después de que te hayas descartado. Si tuvieras que barajar tu Pila de Descartes para robar, las Cartas descartadas también serán barajadas en el nuevo Mazo.
7	es	Capilla	Acci&#243;n		Elimina hasta 4 cartas de tu mano.	No puedes eliminar la Carta de Capilla, puesto que no se encuentra en tu mano cuando resuelves la Acción. Sí podrías eliminar otra Carta de Capilla que pudieras tener en tu mano.
8	es	Foso	Acci&#243;n Reacci&#243;n		<b>+2 Cartas</b><hr/>Cuando otro jugador juegue una carta de Ataque, puedes ense&#241;ar esta carta de tu mano. Si lo haces, el Ataque no te afecta.	Una Carta de Ataque es la que pone "Acción - Ataque" en la línea inferior. Cuando alguien juegue una, puedes enseñar una Carta de Foso que tengas en la mano (y devolverla a tu mano) para que el Ataque no te afecte: no recibes Maldición de una Bruja, no tienes que revelar una Carta a un Espía, etc. El Foso no anula los efectos en los demás jugadores, ni anula la Carta de Ataque (y así, el jugador que jugó la Bruja puede robar 2 Cartas). El Foso, jugado como una Acción durante tu Turno, te permite robar 2 Cartas de tu Mazo.
9	es	Canciller	Acci&#243;n		<b>+<c>2</c></b><br/><br/>Puedes poner inmediatamente tu mazo en tu pila de descartes.	Debes resolver el Canciller (y decidir si descartas o no todo tu Mazo) antes de hacer nada más en tu Turno (como decidir lo que vas a comprar o jugar otra Carta de Acción). Tampoco podrás mirar el Mazo cuando lo descartes.
10	es	Aldea	Acci&#243;n		<b>+1 Carta<br/>+2 Acciones</b>	Si pones en juego varias Aldeas, lleva bien la cuenta de las Acciones que te quedan por realizar. Un truco que suele funcionar consiste en decir en voz alta las Acciones que aún te faltan.
11	es	Le&#241;adores	Acci&#243;n		<b>+1 Compra<br/>+<c>2</c></b>	Durante tu Fase de Compra, añades 2 monedas al valor total de las Cartas de Tesoro que juegues y, además, podrás comprar una Carta más del Suministro.
12	es	Taller	Acci&#243;n		Gana una carta que tenga un coste m&#225;ximo de <c>4</c>.	La Carta que ganas se pone en tu Pila de Descartes. Tiene que ser una Carta del Suministro. No puedes utilizar monedas procedentes de Cartas de Tesoro o de Acciones previas para incrementar el coste de la Carta ganada.
13	es	Bur&#243;crata	Acci&#243;n		Ataque	Ganas una carta de Plata y<br/>la colocas encima de tu mazo.<br/>Los dem&#225;s jugadores tienen que ense&#241;ar una carta de Victoria y ponerla encima de su mazo (o mostrar toda su mano si no tienen cartas de victoria).	Si no queda ninguna Carta en tu Mazo cuando juegas el Burócrata, la Carta de Plata que ganas es convertirá en la única Carta de tu Mazo. Del mismo modo, si un jugador no tiene Cartas en su Mazo, la Carta de Victoria que debe poner encima se convertirá en la única Carta de dicho Mazo.
14	es	Banquete	Acci&#243;n		Elimina esta carta.<br/>Gana una carta con un coste m&#225;ximo de <c>5</c>	La Carta ganada va a tu Pila de Descartes y debe ser una Carta del Suministro. No puedes utilizar monedas de Tesoros o Acciones previas (como el Mercado) para incrementar el coste de la Carta que ganas. Si usas el Salón del Trono con un Banquete, ganarás 2 Cartas, aunque solamente eliminarás una Carta de Banquete.
15	es	Jardines	Victoria		Consigue <vp>1</vp> por cada 10  cartas que tengas en tu mazo (redondeado hacia abajo).	Esta Carta de Reino es una Carta de Victoria, y no de Acción. No sirve para nada hasta el final de la partida, donde concederá 1 Punto de Victoria por cada 10 Cartas que haya en tu Mazo (contando todas tus Cartas y redondeando hacia abajo). Durante la preparación del juego, habrá que colocar 12 Cartas de Jardines en el Suministro para una partida de 3-4 jugadores y sólo 8 Cartas en el Suministro para una partida con 2 jugadores.
16	es	Milicia	Acci&#243;n Ataque		<b>+<c>2</c></b><br/><br/>Los dem&#225;s jugadores se descartan hasta quedarse con 3 cartas en la mano.	Los jugadores atacados deben descartarse de Cartas de su mano hasta quedarse únicamente con 3 Cartas. Los jugadores que tengan 3 Cartas o menos en su mano al ponerse en juego la Milicia no tendrán que descartarse de ninguna.
17	es	Prestamista	Acci&#243;n		Elimina una carta de Cobre de tu mano.<br/>Si lo haces, +<c>3</c>.	Si no tienes en tu mano una Carta de Cobre para eliminar, tampoco consigues las 3 monedas para gastar en tu Fase de Compra.
